Set,Diam,Side,d1,d2,d3,C_measured,C_calc,Error
C01,260,A,1.13,1.06,1.1,427,428,0%
C01,260,B,0.83,0.78,0.77,586,592,-1%
C01,180,A,1.11,1.02,1.06,231,212,9%
C01,180,B,0.72,0.59,0.63,355,348,2%
C02,260,A,0.99,1.05,1.06,456,454,0%
C02,260,B,0.84,0.82,0.94,541,542,0%
C02,180,A,1.01,1.1,1.07,214,212,1%
C02,180,B,0.73,0.96,0.92,273,259,6%
C03,260,A,1,0.92,1.04,468,476,-2%
C03,260,B,0.81,0.82,0.83,571,573,0%
C03,180,A,1,1.04,1.01,238,221,7%
C03,180,B,0.65,0.74,0.77,326,313,4%
C04,260,A,1.05,0.98,0.96,439,471,-7%
C04,260,B,0.9,0.9,0.83,539,536,1%
C04,180,A,1.08,1.05,1.04,223,213,5%
C04,180,B,0.87,0.95,0.86,262,252,4%
C05,260,A,0.93,1.02,1.09,452,463,-2%
C05,260,B,0.86,1.01,0.85,530,518,2%
C05,180,A,1,1.15,1.05,222,211,5%
C05,180,B,0.85,0.9,0.9,269,260,3%
C06,260,A,1.04,1,1.14,462,443,4%
C06,260,B,0.88,0.91,0.76,586,553,6%
C06,180,A,0.99,1.07,1.07,232,216,8%
C06,180,B,0.63,0.68,0.73,320,331,-3%
C07,260,A,1,0.98,0.95,465,481,-3%
C07,260,B,0.9,0.91,0.85,549,530,4%
C07,180,A,1.05,1.01,1.02,235,219,7%
C07,180,B,0.64,0.66,0.66,370,345,7%
C08,260,A,1.05,0.99,1,470,463,1%
C08,260,B,0.83,0.57,0.75,716,655,9%
C08,180,A,1,0.96,1.05,235,224,5%
C08,180,B,0.9,0.85,0.81,278,264,5%
C09,260,A,1,1.09,1.06,462,447,3%
C09,260,B,0.88,0.93,0.93,533,514,4%
C09,180,A,0.98,1.01,1.03,236,224,6%
C09,180,B,0.73,0.59,0.76,332,325,2%
C10,260,A,0.98,0.97,1.02,457,474,-4%
C10,260,B,0.91,0.85,0.83,557,544,2%
C10,180,A,1.05,1.01,0.97,234,223,5%
C10,180,B,0.74,0.7,0.76,324,307,6%
C11,260,A,1.11,1.03,0.99,439,450,-2%
C11,260,B,0.78,0.86,0.63,644,621,4%
C11,180,A,1.13,1.04,1.08,222,208,7%
C11,180,B,0.73,0.76,0.75,328,301,9%
C12,260,A,1.04,0.95,0.99,477,473,1%
C12,260,B,0.84,0.86,0.91,563,540,4%
C12,180,A,0.98,1,1.14,221,216,2%
C12,180,B,0.92,0.89,0.94,266,246,8%
C13,260,A,1.01,1.04,0.93,458,473,-3%
C13,260,B,0.86,0.89,0.9,550,532,3%
C13,180,A,1.02,1.02,1.02,224,221,2%
C13,180,B,0.77,0.69,0.62,330,325,2%
